Year,Zip_Code,County,Age_Group,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V
2013,90001,Los Angeles,Child,201,100.1
2013,90002,Los Angeles,Child,210,111.8
2013,90003,Los Angeles,Child,307,130.1
2013,90004,Los Angeles,Child,169,129.4
2013,90005,Los Angeles,Child,52,64
2013,90006,Los Angeles,Child,119,81.9
2013,90007,Los Angeles,Child,88,126.2
2013,90008,Los Angeles,Child,115,157.3
2013,90011,Los Angeles,Child,371,99.4
2013,90012,Los Angeles,Child,25,69.5
2013,90015,Los Angeles,Child,49,121
2013,90016,Los Angeles,Child,175,150.5
2013,90017,Los Angeles,Child,60,99.2
2013,90018,Los Angeles,Child,163,126.1
2013,90019,Los Angeles,Child,106,78.4
2013,90020,Los Angeles,Child,57,75.8
2013,90022,Los Angeles,Child,186,90.8
2013,90023,Los Angeles,Child,157,104.1
2013,90024,Los Angeles,Child,15,44.9
2013,90025,Los Angeles,Child,14,24.8
2013,90026,Los Angeles,Child,119,87.2
2013,90027,Los Angeles,Child,43,73.1
2013,90028,Los Angeles,Child,36,123.4
2013,90029,Los Angeles,Child,76,100
2013,90031,Los Angeles,Child,70,66.4
2013,90032,Los Angeles,Child,109,93.5
2013,90033,Los Angeles,Child,188,129.4
2013,90034,Los Angeles,Child,56,55
2013,90035,Los Angeles,Child,29,46.3
2013,90036,Los Angeles,Child,23,37.3
2013,90037,Los Angeles,Child,225,119.6
2013,90038,Los Angeles,Child,57,107.8
2013,90039,Los Angeles,Child,43,83.6
2013,90040,Los Angeles,Child,34,123.6
2013,90041,Los Angeles,Child,29,55.3
2013,90042,Los Angeles,Child,123,81.4
2013,90043,Los Angeles,Child,159,156.4
2013,90044,Los Angeles,Child,458,158.6
2013,90045,Los Angeles,Child,45,64.3
2013,90046,Los Angeles,Child,18,41.6
2013,90047,Los Angeles,Child,206,172.7
2013,90057,Los Angeles,Child,101,92.8
2013,90059,Los Angeles,Child,226,151.9
2013,90061,Los Angeles,Child,92,105.9
2013,90062,Los Angeles,Child,130,149.9
2013,90063,Los Angeles,Child,135,76.9
2013,90064,Los Angeles,Child,14,27.7
2013,90065,Los Angeles,Child,108,99.1
2013,90066,Los Angeles,Child,44,44.7
2013,90201,Los Angeles,Child,237,72.4
2013,90210,Los Angeles,Child,12,29.8
2013,90220,Los Angeles,Child,181,120
2013,90221,Los Angeles,Child,193,106.5
2013,90222,Los Angeles,Child,138,128.3
2013,90230,Los Angeles,Child,22,33.9
2013,90232,Los Angeles,Child,15,51.2
2013,90240,Los Angeles,Child,25,41.9
2013,90241,Los Angeles,Child,85,79.2
2013,90242,Los Angeles,Child,85,72.1
2013,90245,Los Angeles,Child,14,46.4
2013,90247,Los Angeles,Child,159,139.1
2013,90248,Los Angeles,Child,18,94.8
2013,90249,Los Angeles,Child,69,112.3
2013,90250,Los Angeles,Child,347,134.1
2013,90255,Los Angeles,Child,193,83.7
2013,90260,Los Angeles,Child,109,118.5
2013,90262,Los Angeles,Child,153,68.1
2013,90266,Los Angeles,Child,16,20.8
2013,90270,Los Angeles,Child,53,59
2013,90275,Los Angeles,Child,18,25.8
2013,90277,Los Angeles,Child,24,42.5
2013,90278,Los Angeles,Child,58,64.4
2013,90280,Los Angeles,Child,204,71.3
2013,90291,Los Angeles,Child,23,58.8
2013,90301,Los Angeles,Child,119,125.9
2013,90302,Los Angeles,Child,103,139.4
2013,90303,Los Angeles,Child,103,140.1
2013,90304,Los Angeles,Child,94,105.7
2013,90305,Los Angeles,Child,34,119.2
2013,90403,Los Angeles,Child,13,41.2
2013,90404,Los Angeles,Child,26,86
2013,90405,Los Angeles,Child,18,48.6
2013,90501,Los Angeles,Child,104,99.6
2013,90502,Los Angeles,Child,26,72.8
2013,90503,Los Angeles,Child,42,46.4
2013,90504,Los Angeles,Child,43,70.2
2013,90505,Los Angeles,Child,35,49.2
2013,90601,Los Angeles,Child,61,79.7
2013,90602,Los Angeles,Child,82,125.5
2013,90603,Los Angeles,Child,50,111.8
2013,90604,Los Angeles,Child,113,109.6
2013,90605,Los Angeles,Child,125,116
