Administrative District,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Neither Female nor Male,% Neither Female nor Male,# Asian and Pacific Islander,% Asian and Pacific Islander,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01,2020-21,"11,021",209,623,728,762,746,787,775,788,755,752,756,830,894,825,791,"5,278",47.9%,"5,743",52.1%,,,"2,331",21.2%,"1,630",14.8%,"4,483",40.7%,427,3.9%,57,0.5%,"1,992",18.1%,101,0.9%,"2,501",22.7%,919,8.3%,"7,087",64.3%,67.0%
01,2021-22,"10,327",347,524,685,701,686,680,707,717,707,687,718,756,815,784,813,"4,958",48.0%,"5,369",52.0%,,,"2,110",20.4%,"1,570",15.2%,"4,289",41.5%,417,4.0%,53,0.5%,"1,859",18.0%,29,0.3%,"2,440",23.6%,813,7.9%,"6,509",63.0%,65.5%
01,2022-23,"9,910",364,545,612,678,664,684,662,711,601,660,665,731,839,739,755,"4,824",48.7%,"5,084",51.3%,2,0.0%,"1,991",20.1%,"1,471",14.8%,"4,117",41.5%,418,4.2%,58,0.6%,"1,777",17.9%,78,0.8%,"2,406",24.3%,776,7.8%,"6,344",64.0%,67.3%
01,2023-24,"10,302",386,560,668,704,699,737,749,713,676,663,700,783,809,726,729,"5,073",49.2%,"5,227",50.7%,2,0.0%,"1,921",18.6%,"1,453",14.1%,"4,605",44.7%,469,4.6%,57,0.6%,"1,760",17.1%,37,0.4%,"2,396",23.3%,"1,225",11.9%,"6,961",67.6%,69.0%
01,2024-25,"9,827",314,459,619,659,668,689,675,705,596,659,632,862,811,758,721,"4,827",49.1%,"4,998",50.9%,2,0.0%,"1,898",19.3%,"1,374",14.0%,"4,282",43.6%,478,4.9%,55,0.6%,"1,703",17.3%,37,0.4%,"2,284",23.2%,"1,102",11.2%,"6,498",66.1%,67.9%
02,2020-21,"60,327",187,"2,416","2,695","2,622","2,506","2,600","2,525","2,481","2,625","2,638","2,674","9,135","8,992","8,535","7,696","31,440",52.1%,"28,887",47.9%,,,"13,455",22.3%,"8,338",13.8%,"19,782",32.8%,"2,169",3.6%,352,0.6%,"15,503",25.7%,728,1.2%,"10,992",18.2%,"4,835",8.0%,"32,302",53.5%,54.1%
02,2021-22,"57,900",837,"2,093","2,518","2,441","2,328","2,272","2,362","2,281","2,325","2,398","2,490","8,602","8,841","8,076","8,036","30,372",52.5%,"27,528",47.5%,,,"12,784",22.1%,"8,010",13.8%,"19,190",33.1%,"2,209",3.8%,370,0.6%,"14,647",25.3%,690,1.2%,"10,661",18.4%,"4,766",8.2%,"30,570",52.8%,53.2%
02,2022-23,"56,833","1,090","2,144","2,450","2,458","2,363","2,255","2,256","2,325","2,280","2,341","2,400","8,266","8,504","8,149","7,552","29,638",52.1%,"27,183",47.8%,12,0.0%,"12,033",21.2%,"7,542",13.3%,"18,844",33.2%,"2,276",4.0%,325,0.6%,"14,151",24.9%,"1,662",2.9%,"10,635",18.7%,"5,022",8.8%,"30,472",53.6%,54.7%
02,2023-24,"57,360","1,329","2,303","2,527","2,372","2,462","2,334","2,264","2,249","2,388","2,302","2,414","8,575","8,402","7,812","7,627","29,846",52.0%,"27,488",47.9%,26,0.0%,"11,898",20.7%,"7,617",13.3%,"20,421",35.6%,"2,465",4.3%,308,0.5%,"14,336",25.0%,315,0.5%,"10,638",18.5%,"6,035",10.5%,"32,175",56.1%,56.7%
02,2024-25,"56,856","1,088","2,383","2,460","2,376","2,313","2,372","2,260","2,215","2,286","2,346","2,330","8,730","8,597","7,380","7,720","29,396",51.7%,"27,434",48.3%,26,0.0%,"11,518",20.3%,"7,546",13.3%,"20,511",36.1%,"2,604",4.6%,305,0.5%,"14,014",24.6%,358,0.6%,"10,490",18.5%,"6,272",11.0%,"31,960",56.2%,57.1%
03,2020-21,"21,084",207,961,"1,166","1,195","1,153","1,131","1,185","1,257","1,324","1,342","1,427","2,025","2,478","2,090","2,143","11,412",54.1%,"9,672",45.9%,,,"2,007",9.5%,"4,057",19.2%,"6,778",32.1%,903,4.3%,122,0.6%,"6,669",31.6%,548,2.6%,"4,017",19.1%,939,4.5%,"10,107",47.9%,50.0%
03,2021-22,"19,766",394,923,"1,057","1,088","1,095","1,049","1,040","1,134","1,216","1,253","1,306","1,888","1,993","2,344","1,986","10,770",54.5%,"8,996",45.5%,,,"1,946",9.8%,"3,813",19.3%,"6,412",32.4%,853,4.3%,104,0.5%,"6,169",31.2%,469,2.4%,"3,903",19.7%,829,4.2%,"9,611",48.6%,49.5%
03,2022-23,"19,751",552,969,"1,097","1,068","1,100","1,090","1,049","1,040","1,142","1,163","1,263","2,159","1,945","1,881","2,233","10,775",54.6%,"8,969",45.4%,7,0.0%,"1,959",9.9%,"3,641",18.4%,"6,516",33.0%,880,4.5%,100,0.5%,"5,976",30.3%,679,3.4%,"4,028",20.4%,970,4.9%,"9,801",49.6%,51.5%
03,2023-24,"20,354",474,"1,023","1,302","1,227","1,157","1,204","1,180","1,147","1,158","1,242","1,289","2,125","2,167","1,827","1,832","11,266",55.4%,"9,077",44.6%,11,0.1%,"1,936",9.5%,"3,573",17.6%,"7,554",37.1%,988,4.9%,99,0.5%,"6,079",29.9%,125,0.6%,"4,071",20.0%,"1,912",9.4%,"10,863",53.4%,55.2%
03,2024-25,"20,105",529,"1,028","1,189","1,226","1,150","1,131","1,158","1,159","1,156","1,132","1,261","2,107","2,063","2,046","1,770","11,047",54.9%,"9,042",45.0%,16,0.1%,"1,884",9.4%,"3,436",17.1%,"7,394",36.8%,"1,093",5.4%,92,0.5%,"6,020",29.9%,186,0.9%,"4,045",20.1%,"1,805",9.0%,"10,601",52.7%,55.3%
04,2020-21,"12,336",499,743,711,711,770,734,776,871,977,944,953,918,932,897,900,"6,428",52.1%,"5,908",47.9%,,,"1,176",9.5%,"2,895",23.5%,"7,156",58.0%,224,1.8%,126,1.0%,630,5.1%,129,1.0%,"2,982",24.2%,"1,198",9.7%,"10,110",82.0%,83.2%
04,2021-22,"11,567",522,604,684,671,676,734,693,759,893,900,928,852,932,863,856,"6,026",52.1%,"5,541",47.9%,,,"1,065",9.2%,"2,759",23.9%,"6,715",58.1%,209,1.8%,109,0.9%,637,5.5%,73,0.6%,"2,907",25.1%,"1,175",10.2%,"9,359",80.9%,81.8%
04,2022-23,"11,339",504,605,611,645,656,674,707,711,795,858,913,"1,057",874,877,852,"5,809",51.2%,"5,526",48.7%,4,0.0%,"1,072",9.5%,"2,687",23.7%,"6,485",57.2%,202,1.8%,106,0.9%,656,5.8%,131,1.2%,"3,032",26.7%,"1,055",9.3%,"9,380",82.7%,83.4%
04,2023-24,"11,925",499,648,747,764,766,785,790,827,779,820,874,929,"1,013",843,841,"5,819",48.8%,"6,102",51.2%,4,0.0%,"1,040",8.7%,"2,443",20.5%,"7,447",62.4%,198,1.7%,120,1.0%,644,5.4%,33,0.3%,"2,959",24.8%,"2,131",17.9%,"10,263",86.1%,85.8%
04,2024-25,"11,392",455,567,603,724,744,753,759,740,786,755,822,976,942,972,794,"5,547",48.7%,"5,841",51.3%,4,0.0%,"1,048",9.2%,"2,352",20.6%,"7,014",61.6%,188,1.7%,112,1.0%,637,5.6%,41,0.4%,"2,873",25.2%,"1,981",17.4%,"9,631",84.5%,85.5%
