District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
01,3,2025,Asian,119,483,4,3.4,7,5.9,34,28.6,74,62.2,108,90.8
01,3,2025,Black,63,447,12,19.0,21,33.3,23,36.5,7,11.1,30,47.6
01,3,2025,Hispanic,221,450,38,17.2,73,33.0,80,36.2,30,13.6,110,49.8
01,3,2025,Multi-Racial,46,s,s,s,s,s,s,s,s,s,s,s
01,3,2025,Native American,3,s,s,s,s,s,s,s,s,s,s,s
01,3,2025,White,88,482,2,2.3,10,11.4,27,30.7,49,55.7,76,86.4
01,4,2025,Asian,137,491,3,2.2,5,3.6,33,24.1,96,70.1,129,94.2
01,4,2025,Black,75,444,24,32.0,21,28.0,25,33.3,5,6.7,30,40.0
01,4,2025,Hispanic,214,449,64,29.9,44,20.6,78,36.4,28,13.1,106,49.5
01,4,2025,Multi-Racial,39,s,s,s,s,s,s,s,s,s,s,s
01,4,2025,Native American,2,s,s,s,s,s,s,s,s,s,s,s
01,4,2025,White,104,479,4,3.8,10,9.6,42,40.4,48,46.2,90,86.5
01,5,2025,Asian,128,488,6,4.7,4,3.1,27,21.1,91,71.1,118,92.2
01,5,2025,Black,89,437,37,41.6,32,36.0,13,14.6,7,7.9,20,22.5
01,5,2025,Hispanic,214,437,99,46.3,52,24.3,52,24.3,11,5.1,63,29.4
01,5,2025,Multi-Racial,35,s,s,s,s,s,s,s,s,s,s,s
01,5,2025,Native American,2,s,s,s,s,s,s,s,s,s,s,s
01,5,2025,White,99,482,7,7.1,3,3.0,30,30.3,59,59.6,89,89.9
01,6,2025,Asian,115,493,1,0.9,8,7.0,23,20.0,83,72.2,106,92.2
01,6,2025,Black,74,443,26,35.1,23,31.1,18,24.3,7,9.5,25,33.8
01,6,2025,Hispanic,235,443,91,38.7,63,26.8,54,23.0,27,11.5,81,34.5
01,6,2025,Multi-Racial,33,s,s,s,s,s,s,s,s,s,s,s
01,6,2025,Native American,3,s,s,s,s,s,s,s,s,s,s,s
01,6,2025,White,64,488,2,3.1,6,9.4,12,18.8,44,68.8,56,87.5
01,7,2025,Asian,132,495,2,1.5,7,5.3,17,12.9,106,80.3,123,93.2
01,7,2025,Black,73,456,13,17.8,16,21.9,26,35.6,18,24.7,44,60.3
01,7,2025,Hispanic,250,452,56,22.4,70,28.0,72,28.8,52,20.8,124,49.6
01,7,2025,Multi-Racial,26,493,0,0.0,1,3.8,2,7.7,23,88.5,25,96.2
01,7,2025,Native American,6,453,1,16.7,1,16.7,3,50.0,1,16.7,4,66.7
01,7,2025,White,95,488,2,2.1,6,6.3,16,16.8,71,74.7,87,91.6
01,8,2025,Asian,19,472,2,10.5,2,10.5,8,42.1,7,36.8,15,78.9
01,8,2025,Black,31,439,15,48.4,6,19.4,10,32.3,0,0.0,10,32.3
01,8,2025,Hispanic,134,446,47,35.1,25,18.7,50,37.3,12,9.0,62,46.3
01,8,2025,Multi-Racial,11,s,s,s,s,s,s,s,s,s,s,s
01,8,2025,Native American,2,s,s,s,s,s,s,s,s,s,s,s
01,8,2025,White,22,471,1,4.5,1,4.5,14,63.6,6,27.3,20,90.9
01,All Grades,2025,Asian,650,490,18,2.8,33,5.1,142,21.8,457,70.3,599,92.2
01,All Grades,2025,Black,405,444,127,31.4,119,29.4,115,28.4,44,10.9,159,39.3
01,All Grades,2025,Hispanic,1268,446,395,31.2,327,25.8,386,30.4,160,12.6,546,43.1
01,All Grades,2025,Multi-Racial,190,482,13,6.8,15,7.9,45,23.7,117,61.6,162,85.3
01,All Grades,2025,Native American,18,447,6,33.3,5,27.8,4,22.2,3,16.7,7,38.9
01,All Grades,2025,White,472,483,18,3.8,36,7.6,141,29.9,277,58.7,418,88.6
01,3,2024,Asian,132,483,1,0.8,10,7.6,45,34.1,76,57.6,121,91.7
01,3,2024,Black,74,438,25,33.8,22,29.7,23,31.1,4,5.4,27,36.5
01,3,2024,Hispanic,202,444,44,21.8,68,33.7,77,38.1,13,6.4,90,44.6
01,3,2024,Multi-Racial,39,s,s,s,s,s,s,s,s,s,s,s
01,3,2024,Native American,2,s,s,s,s,s,s,s,s,s,s,s
01,3,2024,White,97,470,6,6.2,15,15.5,42,43.3,34,35.1,76,78.4
01,4,2024,Asian,121,490,2,1.7,4,3.3,28,23.1,87,71.9,115,95.0
01,4,2024,Black,77,442,26,33.8,23,29.9,22,28.6,6,7.8,28,36.4
01,4,2024,Hispanic,215,443,66,30.7,60,27.9,73,34.0,16,7.4,89,41.4
01,4,2024,Multi-Racial,32,s,s,s,s,s,s,s,s,s,s,s
01,4,2024,Native American,3,s,s,s,s,s,s,s,s,s,s,s
01,4,2024,White,98,482,4,4.1,9,9.2,26,26.5,59,60.2,85,86.7
01,5,2024,Asian,100,493,3,3.0,5,5.0,21,21.0,71,71.0,92,92.0
01,5,2024,Black,69,436,36,52.2,17,24.6,10,14.5,6,8.7,16,23.2
01,5,2024,Hispanic,203,442,81,39.9,50,24.6,52,25.6,20,9.9,72,35.5
01,5,2024,Multi-Racial,32,s,s,s,s,s,s,s,s,s,s,s
01,5,2024,Native American,2,s,s,s,s,s,s,s,s,s,s,s
01,5,2024,White,69,487,3,4.3,8,11.6,14,20.3,44,63.8,58,84.1
01,6,2024,Asian,137,486,2,1.5,14,10.2,32,23.4,89,65.0,121,88.3
01,6,2024,Black,79,440,34,43.0,23,29.1,13,16.5,9,11.4,22,27.8
01,6,2024,Hispanic,251,441,99,39.4,58,23.1,73,29.1,21,8.4,94,37.5
01,6,2024,Multi-Racial,27,s,s,s,s,s,s,s,s,s,s,s
01,6,2024,Native American,4,s,s,s,s,s,s,s,s,s,s,s
01,6,2024,White,86,478,3,3.5,11,12.8,29,33.7,43,50.0,72,83.7
01,7,2024,Asian,130,494,3,2.3,6,4.6,25,19.2,96,73.8,121,93.1
01,7,2024,Black,70,448,22,31.4,15,21.4,20,28.6,13,18.6,33,47.1
01,7,2024,Hispanic,234,449,54,23.1,66,28.2,85,36.3,29,12.4,114,48.7
01,7,2024,Multi-Racial,32,s,s,s,s,s,s,s,s,s,s,s
01,7,2024,Native American,3,s,s,s,s,s,s,s,s,s,s,s
01,7,2024,White,86,491,1,1.2,4,4.7,19,22.1,62,72.1,81,94.2
01,8,2024,Asian,27,475,4,14.8,3,11.1,9,33.3,11,40.7,20,74.1
01,8,2024,Black,47,438,22,46.8,13,27.7,10,21.3,2,4.3,12,25.5
01,8,2024,Hispanic,129,444,50,38.8,32,24.8,32,24.8,15,11.6,47,36.4
